view,kind,delta,rot_deg,trans_frac,N,eps,K,radius,valid_frac,iou_mean,iou_p10,iou_p50,cap_bind_frac,psnr_oracle,lpips_oracle,psnr_oracle_valid,fallback_frac_tau0.01,fallback_frac_tau0.05,inversion_frac,inv_depth_gap_p50,psnr_stale_order,union_frac,quad_share,psnr_stale_sh,mean_candidates_per_pixel
40,trans_z,0.5,0,0.005,2627583,0.005,32,1,0.998661,0.856746,0.7,0.875,0.566284,39.5918,0.00944047,39.5874,0.243875,0.0211881,1.68808e-07,0,38.7367,0.176253,0.328788,39.5616,29.3529
40,trans_z,1,0,0.01,2627583,0.005,32,1,0.998687,0.853095,0.692308,0.875,0.566418,37.466,0.0125241,37.4608,0.249513,0.0264172,1.53342e-06,0,36.7685,0.175176,0.328564,37.426,29.3503
40,trans_z,2,0,0.02,2627583,0.005,32,1,0.998733,0.84864,0.677419,0.875,0.567147,35.7648,0.0175465,35.7618,0.256085,0.0314976,8.27087e-07,0,35.1997,0.173269,0.328935,35.7023,29.3497
40,trans_z,4,0,0.04,2627583,0.005,32,1,0.998857,0.835112,0.65,0.869565,0.570564,31.4511,0.0325448,31.4497,0.270684,0.0437833,6.4432e-07,0,31.2184,0.168979,0.329599,31.3926,29.3575
40,trans_z,8,0,0.08,2627583,0.005,32,1,0.998923,0.81317,0.608696,0.852941,0.574964,28.2829,0.0486962,28.282,0.291531,0.0617294,5.13081e-07,0,28.167,0.160238,0.329638,28.2074,29.3616
0,traj,1,0.864108,0.0165088,2627583,0.005,32,1,0.985277,0.825481,0.65,0.85,0.640866,27.9914,0.0338816,30.0062,0.312197,0.0462276,0.00441597,0.000164747,27.8875,0.238409,0.342949,27.9955,29.6926
0,traj,2,0.880507,0.0165088,2627583,0.005,32,1,0.986762,0.826319,0.65,0.851852,0.637131,27.8936,0.0344357,29.8974,0.309753,0.0458375,0.0043726,0.00016886,27.7909,0.235203,0.342291,27.8977,29.7131
0,traj,3,0.89699,0.0165088,2627583,0.005,32,1,0.98805,0.827294,0.652174,0.851852,0.636959,28.0686,0.0351186,29.8926,0.308209,0.0450931,0.00448444,0.000159144,27.9595,0.232129,0.341611,28.073,29.7436
0,traj,4,0.913527,0.0165088,2627583,0.005,32,1,0.988508,0.829226,0.655172,0.857143,0.63376,27.9974,0.0363553,29.8819,0.306552,0.0445598,0.00445701,0.000161409,27.8973,0.228617,0.341177,28.002,29.7524
0,traj,5,0.93009,0.0165088,2627583,0.005,32,1,0.989032,0.829217,0.655172,0.857143,0.631543,27.7791,0.0358044,29.8729,0.305955,0.0447801,0.004543,0.00016284,27.6841,0.225303,0.340617,27.7834,29.7674
